ï»¿num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorolÃ³gico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga;__origen__;__descarga__
2025S011908;01/02/2025;13:45:00;PLAZA. GRECIA / AVDA. NIZA;2;20;SAN BLAS-CANILLEJAS;ColisiÃ³n frontal;Despejado;Turismo;Conductor;De 45 a 49 aÃ±os;Hombre;5.0;Asistencia sanitaria ambulatoria con posterioridad;448494.0;4476165.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011908;01/02/2025;13:45:00;PLAZA. GRECIA / AVDA. NIZA;2;20;SAN BLAS-CANILLEJAS;ColisiÃ³n frontal;Despejado;Turismo;Conductor;De 65 a 69 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;448494.0;4476165.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011908;01/02/2025;13:45:00;PLAZA. GRECIA / AVDA. NIZA;2;20;SAN BLAS-CANILLEJAS;ColisiÃ³n frontal;Despejado;Turismo;Pasajero;De 6 a 9 aÃ±os;Mujer;14.0;Sin asistencia sanitaria;448494.0;4476165.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011908;01/02/2025;13:45:00;PLAZA. GRECIA / AVDA. NIZA;2;20;SAN BLAS-CANILLEJAS;ColisiÃ³n frontal;Despejado;Turismo;Pasajero;De 40 a 44 aÃ±os;Mujer;5.0;Asistencia sanitaria ambulatoria con posterioridad;448494.0;4476165.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S024487;02/03/2025;13:45:00;GTA. EMBAJADORES / CALL. EMBAJADORES;1;1;CENTRO;ColisiÃ³n fronto-lateral;Lluvia dÃ©bil;Furgoneta;Conductor;Desconocido;Desconocido;;;440405.0;4472965.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S024487;02/03/2025;13:45:00;GTA. EMBAJADORES / CALL. EMBAJADORES;1;1;CENTRO;ColisiÃ³n fronto-lateral;Lluvia dÃ©bil;Turismo;Pasajero;De 6 a 9 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;440405.0;4472965.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S024487;02/03/2025;13:45:00;GTA. EMBAJADORES / CALL. EMBAJADORES;1;1;CENTRO;ColisiÃ³n fronto-lateral;Lluvia dÃ©bil;Turismo;Pasajero;De 45 a 49 aÃ±os;Mujer;7.0;Asistencia sanitaria sÃ³lo en el lugar del accidente;440405.0;4472965.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S024487;02/03/2025;13:45:00;GTA. EMBAJADORES / CALL. EMBAJADORES;1;1;CENTRO;ColisiÃ³n fronto-lateral;Lluvia dÃ©bil;Turismo;Conductor;De 25 a 29 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;440405.0;4472965.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S024487;02/03/2025;13:45:00;GTA. EMBAJADORES / CALL. EMBAJADORES;1;1;CENTRO;ColisiÃ³n fronto-lateral;Lluvia dÃ©bil;Turismo;Conductor;De 50 a 54 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;440405.0;4472965.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S051087;02/05/2025;13:45:00;CALL. RAQUEL MELLER, 2;2;15;CIUDAD LINEAL;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;444218.0;4475916.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
