Fecha,Estacion,Indicativo,Temp_Media_°C,Temp_Max_°C,Temp_Min_°C,Hora_Temp_Max,Hora_Temp_Min,Precipitacion_mm,Vel_Viento_Media_m/s,Racha_Max_m/s,Direccion_Racha,Hora_Racha,Presion_Max_hPa,Presion_Min_hPa,Insolacion_h
2024-10-20,"MADRID, RETIRO",3195,"16,4","20,8","12,0",15:40,06:40,"0,0","1,1","3,9",17,17:20,"947,3","944,6",N/D
2024-10-19,"MADRID, RETIRO",3195,"16,5","20,9","12,1",14:40,07:30,"0,0","1,1","6,7",23,15:20,"945,2","942,3",N/D
2024-10-18,"MADRID, RETIRO",3195,"12,8","17,6","8,0",14:20,06:40,"0,0","1,7","6,7",29,14:00,"945,7","942,5",N/D
2024-10-17,"MADRID, RETIRO",3195,"14,4","17,3","11,5",15:00,07:00,"1,4","3,3","11,4",31,11:30,"943,8","934,2",N/D
2024-10-16,"MADRID, RETIRO",3195,"17,9","21,8","14,0",15:20,23:59,"14,5","2,5","11,1",15,04:30,"935,3","928,1",N/D
2024-10-15,"MADRID, RETIRO",3195,"17,6","19,6","15,7",00:00,23:50,"11,3","2,5","10,8",26,12:50,N/D,N/D,N/D
2024-10-14,"MADRID, RETIRO",3195,"19,0","22,1","15,8",15:30,04:00,"0,0","1,7","5,8",04,12:10,N/D,N/D,N/D
2024-10-13,"MADRID, RETIRO",3195,"17,4","21,2","13,6",15:00,00:20,"0,0","1,7","6,7",04,05:40,N/D,N/D,N/D
2024-10-12,"MADRID, RETIRO",3195,"15,2","16,7","13,8",11:40,23:59,"21,4","1,7","7,8",16,09:10,N/D,N/D,N/D
2024-10-11,"MADRID, RETIRO",3195,"14,6","19,2","10,0",15:50,06:50,"6,7","1,1","6,7",25,13:30,N/D,N/D,N/D
2024-10-10,"MADRID, RETIRO",3195,"15,0","18,5","11,6",13:30,05:50,"0,0","2,2","8,3",30,03:20,N/D,N/D,N/D
