Año,Mes,Nombre_Mes,Temp_Media_°C,Temp_Max_Media_°C,Temp_Min_Media_°C,Temp_Max_Absoluta_°C,Temp_Min_Absoluta_°C,Humedad_Media_%,Precipitacion_Total_mm,Horas_Sol
2024,N/D,Mes N/D,28.2,35.2,21.1,39.9(24),16.0(02),31,0.0,N/D
2024,N/D,Mes N/D,11.7,16.2,7.2,25.5(22),2.3(02),N/D,65.1,N/D
2024,N/D,Mes N/D,8.4,11.6,5.2,18.8(26),-0.8(08),79,58.9,N/D
2024,N/D,Mes N/D,7.7,11.7,3.6,16.6(07),0.1(15),70,1.4,N/D
2024,N/D,Mes N/D,16.6,21.6,11.6,39.9(24/jul),-0.8(08/ene),N/D,343.2,N/D
2024,N/D,Mes N/D,10.1,14.2,6.0,18.8(20),2.2(28),N/D,21.9,N/D
2024,N/D,Mes N/D,18.3,24.3,12.2,34.4(30),5.7(02),43,7.1,N/D
2024,N/D,Mes N/D,15.9,19.6,12.2,26.9(01),6.1(27),N/D,107.2,N/D
2024,N/D,Mes N/D,15.0,21.0,9.0,29.2(15),3.8(23),49,9.9,N/D
2024,N/D,Mes N/D,22.4,28.6,16.2,35.3(06),12.1(11),46,32.7,N/D
2024,N/D,Mes N/D,12.5,15.9,9.0,19.5(06),4.2(27),N/D,10.0,N/D
2024,N/D,Mes N/D,28.5,35.0,22.0,39.1(09),15.8(15),35,21.9,N/D
2024,N/D,Mes N/D,20.8,26.1,15.4,32.1(02),10.1(28),46,7.1,N/D
