VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
CALLE;DE;1903;1903;20
CALLE;DEL;26 DE ABRIL;26 DE ABRIL;20
AUTOVÍA;;A-1;A-1;16
AUTOVÍA;;A-2;A-2;4
AUTOVÍA;;A-2;A-2;5
AUTOVÍA;;A-2;A-2;15
AUTOVÍA;;A-2;A-2;15
AUTOVÍA;;A-2;A-2;16
AUTOVÍA;;A-2;A-2;16
AUTOVÍA;;A-2;A-2;20
AUTOVÍA;;A-2;A-2;20
AUTOVÍA;;A-2;A-2;20
AUTOVÍA;;A-2;A-2;20
AUTOVÍA;;A-2;A-2;21
AUTOVÍA;;A-2;A-2;21
AUTOVÍA;;A-3;A-3;3
AUTOVÍA;;A-3;A-3;13
AUTOVÍA;;A-3;A-3;13
AUTOVÍA;;A-3;A-3;13
AUTOVÍA;;A-3;A-3;14
AUTOVÍA;;A-3;A-3;18
AUTOVÍA;;A-3;A-3;18
AUTOVÍA;;A-3;A-3;19
AUTOVÍA;;A-4;A-4;13
AUTOVÍA;;A-4;A-4;17
AUTOVÍA;;A-42;A-42;2
AUTOVÍA;;A-42;A-42;2
AUTOVÍA;;A-42;A-42;11
AUTOVÍA;;A-42;A-42;11
AUTOVÍA;;A-42;A-42;11
AUTOVÍA;;A-42;A-42;12
AUTOVÍA;;A-42;A-42;12
AUTOVÍA;;A-42;A-42;12
AUTOVÍA;;A-42;A-42;17
AUTOVÍA;;A-5;A-5;9
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-5;A-5;10
AUTOVÍA;;A-6;A-6;9
AUTOVÍA;;A-6;A-6;9
AUTOVÍA;;A-6;A-6;9
AUTOVÍA;;A-6;A-6;9
AUTOVÍA;;A-6;A-6;9
CALLE;DEL;ABAD JUAN CATALAN;ABAD JUAN CATALÁN;19
CALLE;DE LA;ABADA;ABADA;21
CALLE;DE LOS;ABADES;ABADES;1
CALLE;DE LA;ABADESA;ABADESA;6
CALLE;DE;ABALOS;ÁBALOS;15
CARRETERA;;ABANDONADA;ABANDONADA;8
CALLE;DEL;ABANICO;ABANICO;20
CALLE;DE;ABANTOS;ABANTOS;5
CALLE;DEL;ABARDERO;ABARDERO;8
CALLE;DE;ABARZUZA;ABÁRZUZA;16
CALLE;DE;ABAY;ABAY;17
CALLE;DE;ABDON TERRADAS;ABDÓN TERRADAS;7
CALLE;DEL;ABEDUL;ABEDUL;5
CALLE;DE;ABEGONDO;ABEGONDO;16
CALLE;DEL;ABEJARUCO;ABEJARUCO;9
CALLE;DE LA;ABEJUELA;ABEJUELA;10
CALLE;DE;ABEL;ABEL;6
CALLE;DE LAS;ABELIAS;ABELIAS;16
CALLE;DE;ABELLA;ABELLA;11
CALLE;DE;ABERTURA;ABERTURA;16
CALLE;DEL;ABETAL;ABETAL;8
CALLE;DEL;ABETO;ABETO;
CALLE;DE;ABIZANDA;ABIZANDA;16
CALLE;DEL;ABOLENGO;ABOLENGO;11
AVENIDA;DE;ABRANTES;ABRANTES;11
AVENIDA;DE;ABRANTES;ABRANTES;11
CALLE;DE;ABRIL;ABRIL;20
CALLE;DE;ABTAO;ABTAO;3
CALLE;DE;ABTAO;ABTAO;3
RONDA;DE LA;ABUBILLA;ABUBILLA;16
CALLE;DE;ABUNDIO GARCIA ROMAN;ABUNDIO GARCÍA ROMÁN;11
CALLE;DE;ABUÑOL;ABUÑOL;16
PASEO;DE LAS;ACACIAS;ACACIAS;2
CALLE;DE LA;ACADEMIA;ACADEMIA;3
CALLE;DE;ACADEMOS;ACADEMOS;16
CALLE;DE;ACAMAR;ACAMAR;9
CALLE;DEL;ACANTILADO;ACANTILADO;9
CALLE;DE LA;ACANTITA;ACANTITA;17
CALLE;DEL;ACANTO;ACANTO;2
CARRETERA;DE;ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20
CALLE;DE;ACEBEDO;ACEBEDO;16
CALLE;DE;ACEBES;ACEBES;17
CALLE;DEL;ACEBO;ACEBO;5
CALLE;DEL;ACEBUCHE;ACEBUCHE;9
CAMINO;DE LOS;ACEITEROS;ACEITEROS;18
