idelem;lon;lat;district_code;district_name
10000;-3.729546;40.428920;NA;NA
10007;-3.631485;40.439706;NA;NA
10008;-3.632521;40.439334;NA;NA
10009;-3.668218;40.475355;NA;NA
10010;-3.668180;40.475825;NA;NA
10011;-3.725265;40.448533;NA;NA
10012;-3.724342;40.467961;NA;NA
10013;-3.671472;40.431206;NA;NA
10014;-3.715424;40.338227;NA;NA
10015;-3.712841;40.335750;NA;NA
10016;-3.714696;40.337667;NA;NA
10017;-3.715331;40.337011;NA;NA
10018;-3.691294;40.419562;NA;NA
10022;-3.708725;40.433320;NA;NA
10023;-3.708979;40.432877;NA;NA
10024;-3.669818;40.406461;NA;NA
10025;-3.732608;40.388873;NA;NA
10027;-3.699440;40.489697;NA;NA
10028;-3.708664;40.499132;NA;NA
10029;-3.709334;40.498237;NA;NA
10030;-3.708568;40.498758;NA;NA
10031;-3.700187;40.484712;NA;NA
10032;-3.693052;40.479214;NA;NA
10033;-3.693932;40.481738;NA;NA
10034;-3.692033;40.423336;NA;NA
10036;-3.693921;40.423722;NA;NA
10037;-3.707778;40.397956;NA;NA
10038;-3.704480;40.397569;NA;NA
10039;-3.667797;40.447106;NA;NA
10040;-3.666513;40.447126;NA;NA
10041;-3.667768;40.443634;NA;NA
10042;-3.668810;40.443501;NA;NA
10045;-3.670729;40.441033;NA;NA
10047;-3.670351;40.441810;NA;NA
10048;-3.681976;40.450838;NA;NA
10049;-3.681908;40.450797;NA;NA
10050;-3.681590;40.449986;NA;NA
10051;-3.718206;40.495838;NA;NA
10052;-3.720387;40.494673;NA;NA
10053;-3.718497;40.494998;NA;NA
10054;-3.719775;40.497090;NA;NA
10055;-3.718747;40.496863;NA;NA
10056;-3.700109;40.387722;NA;NA
10057;-3.711593;40.433218;NA;NA
10058;-3.667530;40.510503;NA;NA
10059;-3.665638;40.510618;NA;NA
10060;-3.665634;40.512286;NA;NA
10061;-3.667594;40.512932;NA;NA
10062;-3.667803;40.512018;NA;NA
10063;-3.648737;40.397468;NA;NA
10064;-3.650349;40.396286;NA;NA
10065;-3.717611;40.408256;NA;NA
10066;-3.710683;40.434090;NA;NA
10067;-3.722638;40.492745;NA;NA
10068;-3.722689;40.491239;NA;NA
10069;-3.724341;40.490958;NA;NA
10070;-3.719065;40.495851;NA;NA
10072;-3.719840;40.495362;NA;NA
10073;-3.719325;40.496212;NA;NA
10074;-3.719813;40.496164;NA;NA
10075;-3.719190;40.495611;NA;NA
10076;-3.672648;40.451904;NA;NA
10078;-3.674531;40.452774;NA;NA
10079;-3.674398;40.450711;NA;NA
10080;-3.678032;40.416342;NA;NA
10081;-3.677373;40.416930;NA;NA
10082;-3.678525;40.417442;NA;NA
10083;-3.676383;40.416170;NA;NA
10084;-3.676685;40.417046;NA;NA
10085;-3.675214;40.416962;NA;NA
10086;-3.665566;40.507808;NA;NA
10088;-3.663911;40.507327;NA;NA
10090;-3.664197;40.508185;NA;NA
10091;-3.665435;40.506953;NA;NA
10092;-3.704800;40.371500;NA;NA
10093;-3.676304;40.417822;NA;NA
