ï»¿CODIGO;TUNEL;EPOCA;TIPO_DIA;HORA;SECCION_ACCESO;INTENSIDAD;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;__fuente
TC0602;AZCA;GENERAL;FESTIVO;0;ENTRADA AGUSTIN BETANCOURT;139;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;1;ENTRADA AGUSTIN BETANCOURT;125;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;2;ENTRADA AGUSTIN BETANCOURT;72;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;3;ENTRADA AGUSTIN BETANCOURT;62;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;4;ENTRADA AGUSTIN BETANCOURT;48;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;5;ENTRADA AGUSTIN BETANCOURT;45;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;6;ENTRADA AGUSTIN BETANCOURT;33;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;7;ENTRADA AGUSTIN BETANCOURT;35;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;8;ENTRADA AGUSTIN BETANCOURT;43;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;9;ENTRADA AGUSTIN BETANCOURT;53;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;10;ENTRADA AGUSTIN BETANCOURT;127;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;11;ENTRADA AGUSTIN BETANCOURT;312;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;12;ENTRADA AGUSTIN BETANCOURT;333;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;13;ENTRADA AGUSTIN BETANCOURT;434;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;14;ENTRADA AGUSTIN BETANCOURT;334;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;15;ENTRADA AGUSTIN BETANCOURT;312;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;16;ENTRADA AGUSTIN BETANCOURT;324;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;17;ENTRADA AGUSTIN BETANCOURT;413;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;18;ENTRADA AGUSTIN BETANCOURT;391;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;19;ENTRADA AGUSTIN BETANCOURT;396;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;20;ENTRADA AGUSTIN BETANCOURT;262;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;21;ENTRADA AGUSTIN BETANCOURT;163;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;22;ENTRADA AGUSTIN BETANCOURT;72;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0602;AZCA;GENERAL;FESTIVO;23;ENTRADA AGUSTIN BETANCOURT;52;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;0;ENTRADA ALBERTO ALCOCER;452;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
