dia;mes;año;codigo_de_distrito;total_de_accidentes;valor_calidad_aire;cantidad_emergencias;trafico_medio
15;11;2022;16.0;2.0;9.2;0.0;273.0
6;4;2025;1.0;0.0;16.216666666666665;0.0;358.0
20;9;2023;19.0;0.0;0.0;0.0;248.0
11;11;2023;16.0;0.0;6.6;0.0;165.0
12;4;2023;4.0;17.0;13.78181818181818;0.0;641.0
12;11;2022;6.0;8.0;13.1;0.0;273.0
11;6;2023;6.0;5.0;6.0125;0.0;240.0
12;5;2025;12.0;0.0;0.0;0.0;454.0
7;11;2025;18.0;0.0;17.0;0.0;0.0
31;4;2025;4.0;0.0;0.0;0.0;0.0
15;7;2023;13.0;10.0;9.25;0.0;326.0
8;3;2025;14.0;8.0;8.8;0.0;325.0
